substrate_id,tfa_equivalents,reagent_nbs,yield,MaxAbsEStateIndex_rdkit,MaxEStateIndex_rdkit,MinAbsEStateIndex_rdkit,MinEStateIndex_rdkit,qed_rdkit,SPS_rdkit,MolWt_rdkit,HeavyAtomMolWt_rdkit,ExactMolWt_rdkit,NumValenceElectrons_rdkit,NumRadicalElectrons_rdkit,MaxPartialCharge_rdkit,MinPartialCharge_rdkit,MaxAbsPartialCharge_rdkit,MinAbsPartialCharge_rdkit,FpDensityMorgan1_rdkit,FpDensityMorgan2_rdkit,FpDensityMorgan3_rdkit,BCUT2D_MWHI_rdkit,BCUT2D_MWLOW_rdkit,BCUT2D_CHGHI_rdkit,BCUT2D_CHGLO_rdkit,BCUT2D_LOGPHI_rdkit,BCUT2D_LOGPLOW_rdkit,BCUT2D_MRHI_rdkit,BCUT2D_MRLOW_rdkit,AvgIpc_rdkit,BalabanJ_rdkit,BertzCT_rdkit,Chi0_rdkit,Chi0n_rdkit,Chi0v_rdkit,Chi1_rdkit,Chi1n_rdkit,Chi1v_rdkit,Chi2n_rdkit,Chi2v_rdkit,Chi3n_rdkit,Chi3v_rdkit,Chi4n_rdkit,Chi4v_rdkit,HallKierAlpha_rdkit,Ipc_rdkit,Kappa1_rdkit,Kappa2_rdkit,Kappa3_rdkit,LabuteASA_rdkit,PEOE_VSA1_rdkit,PEOE_VSA10_rdkit,PEOE_VSA11_rdkit,PEOE_VSA12_rdkit,PEOE_VSA13_rdkit,PEOE_VSA14_rdkit,PEOE_VSA2_rdkit,PEOE_VSA3_rdkit,PEOE_VSA4_rdkit,PEOE_VSA5_rdkit,PEOE_VSA6_rdkit,PEOE_VSA7_rdkit,PEOE_VSA8_rdkit,PEOE_VSA9_rdkit,SMR_VSA1_rdkit,SMR_VSA10_rdkit,SMR_VSA2_rdkit,SMR_VSA3_rdkit,SMR_VSA4_rdkit,SMR_VSA5_rdkit,SMR_VSA6_rdkit,SMR_VSA7_rdkit,SMR_VSA8_rdkit,SMR_VSA9_rdkit,SlogP_VSA1_rdkit,SlogP_VSA10_rdkit,SlogP_VSA11_rdkit,SlogP_VSA12_rdkit,SlogP_VSA2_rdkit,SlogP_VSA3_rdkit,SlogP_VSA4_rdkit,SlogP_VSA5_rdkit,SlogP_VSA6_rdkit,SlogP_VSA7_rdkit,SlogP_VSA8_rdkit,SlogP_VSA9_rdkit,TPSA_rdkit,EState_VSA1_rdkit,EState_VSA10_rdkit,EState_VSA11_rdkit,EState_VSA2_rdkit,EState_VSA3_rdkit,EState_VSA4_rdkit,EState_VSA5_rdkit,EState_VSA6_rdkit,EState_VSA7_rdkit,EState_VSA8_rdkit,EState_VSA9_rdkit,VSA_EState1_rdkit,VSA_EState10_rdkit,VSA_EState2_rdkit,VSA_EState3_rdkit,VSA_EState4_rdkit,VSA_EState5_rdkit,VSA_EState6_rdkit,VSA_EState7_rdkit,VSA_EState8_rdkit,VSA_EState9_rdkit,FractionCSP3_rdkit,HeavyAtomCount_rdkit,NHOHCount_rdkit,NOCount_rdkit,NumAliphaticCarbocycles_rdkit,NumAliphaticHeterocycles_rdkit,NumAliphaticRings_rdkit,NumAmideBonds_rdkit,NumAromaticCarbocycles_rdkit,NumAromaticHeterocycles_rdkit,NumAromaticRings_rdkit,NumAtomStereoCenters_rdkit,NumBridgeheadAtoms_rdkit,NumHAcceptors_rdkit,NumHDonors_rdkit,NumHeteroatoms_rdkit,NumHeterocycles_rdkit,NumRotatableBonds_rdkit,NumSaturatedCarbocycles_rdkit,NumSaturatedHeterocycles_rdkit,NumSaturatedRings_rdkit,NumSpiroAtoms_rdkit,NumUnspecifiedAtomStereoCenters_rdkit,Phi_rdkit,RingCount_rdkit,MolLogP_rdkit,MolMR_rdkit,fr_Al_COO_rdkit,fr_Al_OH_rdkit,fr_Al_OH_noTert_rdkit,fr_ArN_rdkit,fr_Ar_COO_rdkit,fr_Ar_N_rdkit,fr_Ar_NH_rdkit,fr_Ar_OH_rdkit,fr_COO_rdkit,fr_COO2_rdkit,fr_C_O_rdkit,fr_C_O_noCOO_rdkit,fr_C_S_rdkit,fr_HOCCN_rdkit,fr_Imine_rdkit,fr_NH0_rdkit,fr_NH1_rdkit,fr_NH2_rdkit,fr_N_O_rdkit,fr_Ndealkylation1_rdkit,fr_Ndealkylation2_rdkit,fr_Nhpyrrole_rdkit,fr_SH_rdkit,fr_aldehyde_rdkit,fr_alkyl_carbamate_rdkit,fr_alkyl_halide_rdkit,fr_allylic_oxid_rdkit,fr_amide_rdkit,fr_amidine_rdkit,fr_aniline_rdkit,fr_aryl_methyl_rdkit,fr_azide_rdkit,fr_azo_rdkit,fr_barbitur_rdkit,fr_benzene_rdkit,fr_benzodiazepine_rdkit,fr_bicyclic_rdkit,fr_diazo_rdkit,fr_dihydropyridine_rdkit,fr_epoxide_rdkit,fr_ester_rdkit,fr_ether_rdkit,fr_furan_rdkit,fr_guanido_rdkit,fr_halogen_rdkit,fr_hdrzine_rdkit,fr_hdrzone_rdkit,fr_imidazole_rdkit,fr_imide_rdkit,fr_isocyan_rdkit,fr_isothiocyan_rdkit,fr_ketone_rdkit,fr_ketone_Topliss_rdkit,fr_lactam_rdkit,fr_lactone_rdkit,fr_methoxy_rdkit,fr_morpholine_rdkit,fr_nitrile_rdkit,fr_nitro_rdkit,fr_nitro_arom_rdkit,fr_nitro_arom_nonortho_rdkit,fr_nitroso_rdkit,fr_oxazole_rdkit,fr_oxime_rdkit,fr_para_hydroxylation_rdkit,fr_phenol_rdkit,fr_phenol_noOrthoHbond_rdkit,fr_phos_acid_rdkit,fr_phos_ester_rdkit,fr_piperdine_rdkit,fr_piperzine_rdkit,fr_priamide_rdkit,fr_prisulfonamd_rdkit,fr_pyridine_rdkit,fr_quatN_rdkit,fr_sulfide_rdkit,fr_sulfonamd_rdkit,fr_sulfone_rdkit,fr_term_acetylene_rdkit,fr_tetrazole_rdkit,fr_thiazole_rdkit,fr_thiocyan_rdkit,fr_thiophene_rdkit,fr_unbrch_alkane_rdkit,fr_urea_rdkit
Yohimbine,1.0,0.0,19.0,12.375015607355074,12.375015607355074,0.1989002267573694,-0.5684953441253047,0.7729574057454922,34.0,354.45000000000005,328.2420000000001,354.1943426919999,138,0,0.3110860557833562,-0.4687127960577246,0.4687127960577246,0.3110860557833562,1.3076923076923077,2.1538461538461537,3.0,16.52523932459658,9.646026524591417,2.4907320017090586,-2.504604439699187,2.48803202895458,-2.528563195707964,5.84746094762928,-0.1597783488722781,3.04933738748874,1.5224844729137554,821.6759316980769,17.83613433532446,15.149716881753564,15.149716881753564,12.66903509559602,9.764845273747566,9.764845273747566,8.17682383836293,8.17682383836293,7.021976395412436,7.021976395412436,5.803663075090398,5.803663075090398,-1.85,1806939.757029428,16.33286330839924,6.100098621183212,2.334348180507936,152.87811685076474,14.827368869587962,0.0,0.0,0.0,0.0,5.969305287951849,9.6944469149223,0.0,0.0,0.0,18.19910120538483,49.14891714418543,29.68636573875467,25.17351080433519,14.637927532712576,16.872230220032904,0.0,9.883888251797686,17.75371813848418,37.8290937086003,20.19931035310268,35.5228477603919,0.0,0.0,0.0,0.0,0.0,0.0,47.26299767544122,15.95222176079788,17.75371813848418,36.56168518447144,24.26546827384644,0.0,10.902924932081056,0.0,65.56,6.103966387748303,9.901064578912528,0.0,17.805117380274638,18.380568498235363,32.351977680603184,29.270101959904046,0.0,0.0,34.14935652564412,4.736862953800049,5.042281761865546,0.0,18.62289574088997,11.823777083389729,3.9588197331401696,0.0541437022339797,8.830938960396933,3.1366515004889823,2.0957654635928447,1.4347260540018476,0.5714285714285714,26,2,5,1,2,3,0,1,1,2,5,0,4,2,5,3,1,1,1,2,0,0,3.832002959520772,5,2.6471000000000013,98.66050000000006,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifonazole,2.0,1.0,85.0,4.222191928475298,4.222191928475298,0.1375216259343239,0.1375216259343239,0.5071355444295608,12.0,310.40000000000003,292.256,310.146998576,116,0,0.0953935400144825,-0.3258538281248507,0.3258538281248507,0.0953935400144825,0.625,1.2083333333333333,1.8333333333333333,15.04962199587366,9.95816902407345,2.150654882330243,-2.1971427712697755,2.2825645111753565,-2.0992837688149795,5.632764662770084,0.6767158255586002,3.184169370342436,1.7398895194531805,869.9580580375426,16.192023676495616,13.286732036413186,13.286732036413186,11.915816237971963,8.094412461350602,8.094412461350602,5.811151176117955,5.811151176117955,4.271862179363885,4.271862179363885,3.082672577675482,3.082672577675482,-3.129999999999999,844492.6637247396,14.461500111710391,6.548506444939078,2.863937426311997,141.6064077406418,4.567099647791355,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,84.92913895846256,22.253805966787983,12.393687143226153,12.3691609039125,0.0,0.0,0.0,9.551078168738565,0.0,6.041840829147961,0.0,114.77704915984724,0.0,11.126902983393991,0.0,0.0,0.0,0.0,9.551078168738565,0.0,0.0,17.16874381254195,103.65014617645323,0.0,11.126902983393991,0.0,17.82,0.0,0.0,0.0,6.041840829147961,0.0,0.0,22.253805966787983,0.0,30.853741354913915,82.3474829902779,0.0,2.1456916099773244,0.0,4.222191928475298,0.0,4.973682392710172,0.0,29.93638469661918,5.722049372218024,0.0,0.0,0.0454545454545454,24,0,2,0,0,0,0,3,1,4,1,0,2,0,2,1,4,0,0,0,0,1,3.945884445209279,4,5.187800000000004,97.78800000000004,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caffeine,2.0,1.0,0.0,11.672037037037038,11.672037037037038,0.3165740740740737,-0.3599999999999996,0.5384628262372215,11.071428571428571,194.194,184.114,194.08037556,74,0,0.3317034326359889,-0.3278634660994821,0.3317034326359889,0.3278634660994821,1.1428571428571428,1.7857142857142858,2.4285714285714284,16.161282315860767,10.48818798692215,2.110255216429425,-2.021517497066594,2.0118198978857023,-2.3696654059207383,5.691604588780575,0.7054356050886186,2.53868764707295,3.221281081084588,597.2256230854156,10.455665446700475,8.182701232117186,8.182701232117186,6.536581260209188,4.107927642957932,4.107927642957932,3.2334489655756182,3.2334489655756182,2.316512895488237,2.316512895488237,1.4711798853237632,1.4711798853237632,-1.85,1876.0901711869096,8.73523326923911,2.5679479011227926,0.8757741627139433,79.02895701814933,4.567099647791355,0.0,11.16387793838399,0.0,5.559266895052008,5.689743398203474,13.928736479654532,9.77851570501903,0.0,0.0,0.0,0.0,21.143015948031568,6.3273200747645415,0.0,11.16387793838399,0.0,18.68527746432127,21.143015948031568,0.0,0.0,27.165404736163666,0.0,0.0,11.24901029325548,0.0,0.0,0.0,18.68527746432127,21.143015948031568,0.0,0.0,15.916394442908183,0.0,11.16387793838399,0.0,61.82,0.0,9.589074368143644,0.0,11.24901029325548,11.16387793838399,4.567099647791355,17.942091705233086,18.662443613145733,0.0,4.9839785209472085,0.0,4.039537037037036,0.0,27.15444822373394,0.0,0.180092592592594,0.0,0.0,1.5193518518518518,0.0,4.773236961451247,0.375,14,0,6,0,0,0,0,0,2,2,0,0,6,0,6,2,0,0,0,0,0,0,1.6022588528257544,2,-1.0293,51.19600000000002,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camptothecin,2.0,1.0,99.0,13.010453199798436,13.010453199798436,0.1097823759133278,-1.789747023809523,0.5327639891125654,20.46153846153846,348.358,332.2300000000001,348.111006992,130,0,0.3426763382231084,-0.4581977281257992,0.4581977281257992,0.3426763382231084,1.2692307692307692,2.076923076923077,2.8846153846153846,16.55130200266889,9.857666585123692,2.4485533423573864,-2.3125749231925377,2.37953880495712,-2.4391788376957204,5.858094219614515,-0.1718369109382107,3.0119319112930247,1.8134139101470272,1138.6474338541925,18.051677284948283,14.151807616588863,14.151807616588863,12.52502379824839,8.585127085592587,8.585127085592587,6.791866087794112,6.791866087794112,5.4167907715910895,5.4167907715910895,3.925153152787504,3.925153152787504,-2.9899999999999998,1523004.454468697,15.27944344800238,5.016137241019722,1.818757008994824,148.22824286689612,14.410489996432108,6.606881964512918,5.601050810983688,0.0,5.559266895052007,5.969305287951849,4.794537184071822,9.77851570501903,0.0,0.0,25.12283840507545,24.61992282831084,16.513127197858786,29.01276460492276,14.637927532712578,16.872230220032908,0.0,9.551078168738565,0.0,32.097248004025815,0.0,63.44236096498447,0.0,11.387855989696922,5.559266895052007,0.0,0.0,0.0,20.62691085153112,28.28408931928105,0.0,30.03491329770762,41.19273959484149,0.0,22.29078092177798,0.0,81.42,11.570356098935536,14.69560176298435,0.0,18.586970482490933,23.365587384155027,22.16030441862652,0.0,17.55720391594359,30.33183534230805,0.0,9.720841474747257,6.7171555493435005,0.0,29.87765397134264,11.847358932011485,1.8138044060216707,-0.7069064229354634,11.55302070134885,0.1386237104779677,2.0092891523893512,0.0,0.25,26,1,6,0,2,2,0,1,2,3,1,0,6,1,6,4,1,0,0,0,0,0,2.947837896214597,5,2.0796,94.5248,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cimetadine,2.0,1.0,0.0,8.391574739744382,8.391574739744382,0.5037500000000004,0.5037500000000004,0.3089087233413526,11.0,252.347,236.219,252.115715512,92,0,0.2086677798169998,-0.3585620726552825,0.3585620726552825,0.2086677798169998,1.7058823529411764,2.5294117647058822,3.117647058823529,32.16649129761092,10.386482793305207,2.002992142034369,-2.061678589114817,2.108624332926495,-2.3536815058561404,7.980548325257588,0.9171715672659322,2.7307249421932687,2.151693817413138,384.41596380874535,12.510225400620904,9.948559689713006,10.765056270640732,8.274386907679233,5.225758265718064,6.380458804097315,3.264003183907489,4.369174899430026,2.1105450579487863,3.080905495178449,1.1769327124779034,2.0520610354182773,-1.6800000000000002,8399.709922186494,13.38527415143603,7.570081043458362,4.7817848631942805,104.92554288214416,15.617555728959871,0.0,0.0,12.152710664522676,0.0,0.0,0.0,4.9839785209472085,17.0237765041296,4.992404732635669,0.0,6.923737199690624,30.792063596931804,12.021248069613002,0.0,17.72143951813495,5.261891554738487,20.60153424990708,4.992404732635669,12.676590806437414,19.345281995336556,17.715176064461463,0.0,6.19315609577884,10.633577208012662,0.0,0.0,11.761884949391115,35.272793605974805,5.752853606746789,18.37878485020795,11.387855989696922,11.31972480740021,0.0,0.0,0.0,88.88999999999999,0.0,0.0,0.0,0.0,5.959554568743835,29.438319609103075,0.0,31.330033102611687,6.923737199690624,25.59393898254275,5.261891554738487,0.0,1.7850186602418745,10.844272180507753,14.230296683768906,2.210137058024414,2.322918320105821,0.0,3.441963102951108,2.7731323241086048,1.7255950036248555,0.5,17,3,6,0,0,0,0,0,1,1,0,0,4,3,7,1,5,0,0,0,0,0,5.960447653839948,1,0.5973999999999999,69.59710000000001,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ciprofloxacin,2.0,1.0,58.0,14.607685185185185,14.607685185185185,0.1372078136810282,-1.2751022303881248,0.8932298763507215,18.125,331.3470000000001,313.20300000000003,331.13321965599994,126,0,0.3407230786793809,-0.4774970228339016,0.4774970228339016,0.3407230786793809,1.25,1.9583333333333333,2.583333333333333,19.142215575448983,10.090180914172349,2.2763834013285003,-2.297744100277088,2.377072792466536,-2.434891581648181,5.93258744823747,0.0694556947879933,3.403898859383536,1.9485981247024464,851.7178001851469,16.844570503761737,13.088143604314618,13.088143604314618,11.558550648063804,8.13388326683475,8.13388326683475,6.373312034026569,6.373312034026569,4.729110360732637,4.729110360732637,3.3138575734326072,3.3138575734326072,-2.41,672746.5705685621,15.137295119421712,5.592172599010578,2.4478616810646066,137.0430709359096,19.890325377488868,11.38067233274289,0.0,5.428790391900541,0.0,5.969305287951849,4.794537184071822,9.184952231746642,0.0,0.0,0.0,24.97437738277524,43.80393423887613,11.204086992299825,14.291479626587348,22.55961649471647,0.0,9.883888251797686,0.0,18.88348407499998,31.078935354500786,39.93357761725154,0.0,0.0,15.64548872675735,10.077801322358384,0.0,0.0,41.82195795423421,0.0,5.817220841045895,29.2414727507688,23.12411489260812,0.0,10.902924932081056,0.0,74.57,17.215316520898284,19.08601681065917,0.0,16.991516535309753,24.293599804124977,25.931156057677168,12.263210640074686,6.06636706846161,9.467009378641832,5.316788604006331,0.0,16.432410478080122,0.0,25.71456571096452,12.6196285019594,0.1594360985134806,-1.755300643086537,3.078098125052489,3.290533509700176,2.9606282188163497,0.0,0.4117647058823529,24,2,6,1,1,2,0,1,1,2,0,0,5,2,7,2,3,1,1,2,0,0,3.527098624581944,4,1.5833,88.47900000000004,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cladribine,2.0,1.0,0.0,9.737182364715434,9.737182364715434,0.0175959257159659,-0.7341609977324264,0.6481668237451135,27.210526315789476,285.691,273.595,285.06286692399993,102,0,0.225952826973795,-0.3935688360285742,0.3935688360285742,0.225952826973795,1.5263157894736843,2.3157894736842106,3.0,35.49570153344631,10.170033108718656,2.349419178908289,-2.130992407937089,2.3109260216208054,-2.239304334001444,6.283088217344632,-0.0431755317411414,2.918930051542239,2.023467355311035,587.3492720572724,13.568549621822845,9.770459244794065,10.52638819081252,9.096555450524589,5.697804208120737,6.075768681129964,4.316739895040157,4.654801596931565,3.115462627385277,3.28449347833098,2.171713556439066,2.342820432860267,-1.4800000000000002,32508.123984025915,12.548579346949742,4.566261411123596,2.020359183400714,112.35519257792843,20.683585220643646,17.848568276099435,11.465039998602755,5.283586320044258,0.0,0.0,4.567099647791355,4.9839785209472085,9.967957041894415,0.0,0.0,11.600939890232516,6.4208216229260096,19.038168427025763,14.94991774348146,28.58268060645153,0.0,19.519035210632985,0.0,24.85665556915748,12.340549441675105,11.6109063948088,0.0,0.0,5.733667477162185,5.817862777835028,0.0,11.600939890232516,48.54690474032391,4.736862953800049,0.0,12.64872279366088,6.3273200747645415,5.283586320044258,11.16387793838399,0.0,119.31000000000002,18.43583394623148,5.106527394840706,0.0,17.708331062392205,17.58469956131,0.0,6.3273200747645415,4.567099647791355,0.0,14.951935562841626,27.177997716035456,7.156880196523055,5.770617318944037,11.99140589569161,18.83140238760113,6.572330719324767,0.1861144442344846,0.0,0.0168685437137807,-0.247841728255088,0.0,0.5,19,4,8,0,1,1,0,0,2,2,3,0,8,3,9,3,2,0,1,1,0,0,3.0157944019157448,3,-0.2974000000000002,66.36500000000001,0,2,2,1,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clotrimazole,2.0,1.0,0.0,6.691467151675484,6.691467151675484,0.585949074074074,-0.585949074074074,0.4545449847420714,11.4,344.845,327.70900000000006,344.108026224,122,0,0.1225856102871701,-0.3189027930167085,0.3189027930167085,0.1225856102871701,0.72,1.28,1.8,35.49569183415235,9.764475614110433,2.3890468838456567,-2.3739979004122445,2.427252363403156,-2.367836110034918,6.311501660041606,0.5146156596467791,3.2063001130879054,2.1535836481568715,892.2817521685303,17.11467340730599,13.587346240232788,14.343275186251242,12.331370464613116,8.177435400812115,8.555399873821342,5.892261019834485,6.299461146575091,4.538475267103274,4.86806348814332,3.4857578229561543,3.758240029525089,-2.8399999999999994,1236605.8276157433,15.673998801944183,6.577182238233219,2.5530431664020705,151.90967396752345,4.567099647791355,5.538925252383345,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,90.46371178023348,17.193270051855603,22.979771948664474,6.3273200747645415,0.0,11.600939890232516,0.0,9.551078168738565,0.0,5.538925252383345,0.0,125.36313396528558,0.0,0.0,0.0,0.0,0.0,11.600939890232516,9.551078168738565,5.538925252383345,0.0,16.690354475090988,103.65014617645326,5.022633313741326,0.0,0.0,17.82,5.538925252383345,0.0,0.0,0.0,0.0,21.71298778883231,0.0,6.196843571613076,42.85599898868567,64.14838178489306,11.600939890232516,2.1238888888888887,6.691467151675484,4.314171390778534,0.725839002267574,2.6980015432098776,0.0,28.831421170319977,5.64298863063744,0.0,0.0,0.0454545454545454,25,0,2,0,0,0,0,3,1,4,0,0,2,0,3,1,4,0,0,0,0,0,4.123629860889442,4,5.376700000000004,101.84300000000002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etodolac,2.0,1.0,0.0,11.28582703451751,11.28582703451751,0.0047422996976567,-0.8203045214999578,0.9057842881790305,21.428571428571427,287.3589999999999,266.191,287.152143532,112,0,0.3062015189978058,-0.4811413018966792,0.4811413018966792,0.3062015189978058,1.4285714285714286,2.238095238095238,2.9047619047619047,16.5038316831845,9.859747822308057,2.403959779077528,-2.351145274375201,2.415402865388159,-2.36859402333922,5.879741602071538,-0.1482617179218693,2.865394522200306,2.2365005465300696,670.64829329664,15.035169427003234,12.5312948899293,12.5312948899293,10.109320773707358,7.596527674004412,7.596527674004412,5.688624686117199,5.688624686117199,4.6024794459230565,4.6024794459230565,3.48570152383205,3.48570152383205,-1.81,82265.47673237078,14.14094585695257,5.187313539396647,2.1410481876545573,123.6701770300334,14.827368869587962,5.601050810983688,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,32.04657560476608,30.38936785217202,10.902924932081056,18.721631582287387,14.637927532712578,16.872230220032904,0.0,4.9839785209472085,0.0,45.13181170206897,6.606881964512918,35.01993218362728,0.0,0.0,0.0,0.0,0.0,0.0,22.66669316825268,27.974094194707572,0.0,43.50994862347572,18.19910120538483,0.0,10.902924932081056,0.0,62.32,11.570356098935536,9.901064578912528,0.0,6.4208216229260096,13.027703587438928,24.05227195831674,16.513127197858786,0.0,6.923737199690624,30.10681692602266,4.736862953800049,5.9430246126228266,0.0,14.780271478961954,10.487763447971782,3.883181689342405,-0.8203045214999578,6.321297713529857,2.449282249937012,4.705483329134123,0.0,0.4705882352941176,21,2,4,0,1,1,0,1,1,2,1,0,2,2,4,2,4,0,0,0,0,1,3.4930247573164275,3,3.383000000000002,81.55450000000005,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibuprofen,2.0,1.0,1.0,10.762425070336777,10.762425070336777,0.4184259259259264,-0.7716577958343829,0.8215995486924975,12.8,206.285,188.141,206.130679816,82,0,0.3101853515323108,-0.4807885019257389,0.4807885019257389,0.3101853515323108,1.2,1.7333333333333334,2.1333333333333333,16.36640479713451,9.968471760898746,2.123540108955395,-2.085757965387073,2.16889350754164,-2.068800465423947,5.749768182058118,-0.1378620686519076,2.165506939440076,2.7590371332701524,316.396476403863,11.422285251880869,9.526670282288125,9.526670282288125,7.002907755397974,5.32030090584347,5.32030090584347,4.3994781236223774,4.3994781236223774,2.494095609718196,2.494095609718196,1.556376775771452,1.556376775771452,-1.31,1862.3359679184653,11.763046018991965,4.964460295417243,3.387630631562938,90.941753772513,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,38.112942673227685,30.38936785217202,0.0,5.917906046161393,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,33.10993926815927,0.0,35.392371257240434,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792557,11.21535880699783,5.917906046161393,37.81602062862726,24.26546827384644,0.0,0.0,0.0,37.3,11.887211334113244,4.794537184071822,0.0,0.0,5.917906046161393,11.984273114623004,5.563451491696996,6.923737199690624,24.26546827384644,13.847474399381248,5.106527394840706,0.0,0.0,10.762425070336777,8.850157339170236,2.140134164777023,-0.5579103678508444,7.871574074074074,1.04338529856387,6.056901087595532,0.0,0.4615384615384615,15,1,2,0,0,0,0,1,0,1,1,0,1,1,2,0,4,0,0,0,0,1,3.893144994296765,1,3.0732000000000017,61.03480000000004,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
